"codendereco","rua","modulo","posicao","tipo"
"05-18-04","05","18","04",COLEÇÃO
"05-18-05","05","18","05",COLEÇÃO
"05-18-06","05","18","06",COLEÇÃO
"05-18-07","05","18","07",COLEÇÃO
"05-18-08","05","18","08",COLEÇÃO
"05-18-09","05","18","09",COLEÇÃO
"05-18-10","05","18","10",COLEÇÃO
"05-18-11","05","18","11",COLEÇÃO
"05-18-12","05","18","12",COLEÇÃO
"05-18-13","05","18","13",COLEÇÃO
"05-18-14","05","18","14",COLEÇÃO
"05-18-15","05","18","15",COLEÇÃO
"05-18-16","05","18","16",COLEÇÃO
"05-18-17","05","18","17",COLEÇÃO
"05-18-18","05","18","18",COLEÇÃO
"05-18-19","05","18","19",COLEÇÃO
"05-18-20","05","18","20",COLEÇÃO
"05-18-21","05","18","21",COLEÇÃO
"05-18-22","05","18","22",COLEÇÃO
"05-18-23","05","18","23",COLEÇÃO
"05-18-24","05","18","24",COLEÇÃO
"05-19-01","05","19","01",COLEÇÃO
"05-19-02","05","19","02",COLEÇÃO
"05-19-03","05","19","03",COLEÇÃO
"05-19-04","05","19","04",COLEÇÃO
"05-19-05","05","19","05",COLEÇÃO
"05-19-06","05","19","06",COLEÇÃO
"05-19-07","05","19","07",COLEÇÃO
"05-19-08","05","19","08",COLEÇÃO
"05-19-09","05","19","09",COLEÇÃO
"05-19-10","05","19","10",COLEÇÃO
"05-19-11","05","19","11",COLEÇÃO
"05-19-12","05","19","12",COLEÇÃO
"05-19-13","05","19","13",COLEÇÃO
"05-19-14","05","19","14",COLEÇÃO
"05-19-15","05","19","15",COLEÇÃO
"05-19-16","05","19","16",COLEÇÃO
"05-19-17","05","19","17",COLEÇÃO
"05-19-18","05","19","18",COLEÇÃO
"05-19-19","05","19","19",COLEÇÃO
"05-19-20","05","19","20",COLEÇÃO
"05-19-21","05","19","21",COLEÇÃO
"05-19-22","05","19","22",COLEÇÃO
"05-19-23","05","19","23",COLEÇÃO
"05-19-24","05","19","24",COLEÇÃO
"05-20-01","05","20","01",COLEÇÃO
"05-20-02","05","20","02",COLEÇÃO
"05-20-03","05","20","03",COLEÇÃO
"05-20-04","05","20","04",COLEÇÃO
"05-20-05","05","20","05",COLEÇÃO
"05-20-06","05","20","06",COLEÇÃO
"05-20-07","05","20","07",COLEÇÃO
"05-20-08","05","20","08",COLEÇÃO
"05-20-09","05","20","09",COLEÇÃO
"05-20-10","05","20","10",COLEÇÃO
"05-20-11","05","20","11",COLEÇÃO
"05-20-12","05","20","12",COLEÇÃO
"05-20-13","05","20","13",COLEÇÃO
"05-20-14","05","20","14",COLEÇÃO
"05-20-15","05","20","15",COLEÇÃO
"05-20-16","05","20","16",COLEÇÃO
"05-20-17","05","20","17",COLEÇÃO
"05-20-18","05","20","18",COLEÇÃO
"05-20-19","05","20","19",COLEÇÃO
"05-20-20","05","20","20",COLEÇÃO
"05-20-21","05","20","21",COLEÇÃO
"05-20-22","05","20","22",COLEÇÃO
"05-20-23","05","20","23",COLEÇÃO
"05-20-24","05","20","24",COLEÇÃO
"05-21-01","05","21","01",COLEÇÃO
"05-21-02","05","21","02",COLEÇÃO
"05-21-03","05","21","03",COLEÇÃO
"05-21-04","05","21","04",COLEÇÃO
"05-21-05","05","21","05",COLEÇÃO
"05-21-06","05","21","06",COLEÇÃO
"05-21-07","05","21","07",COLEÇÃO
"05-21-08","05","21","08",COLEÇÃO
"05-21-09","05","21","09",COLEÇÃO
"05-21-10","05","21","10",COLEÇÃO
"05-21-11","05","21","11",COLEÇÃO
"05-21-12","05","21","12",COLEÇÃO
"05-21-13","05","21","13",COLEÇÃO
"05-21-14","05","21","14",COLEÇÃO
"05-21-15","05","21","15",COLEÇÃO
"05-21-16","05","21","16",COLEÇÃO
"05-21-17","05","21","17",COLEÇÃO
"05-21-18","05","21","18",COLEÇÃO
"05-21-19","05","21","19",COLEÇÃO
"05-21-20","05","21","20",COLEÇÃO
"05-21-21","05","21","21",COLEÇÃO
"05-21-22","05","21","22",COLEÇÃO
"05-21-23","05","21","23",COLEÇÃO
"05-21-24","05","21","24",COLEÇÃO
"05-22-01","05","22","01",COLEÇÃO
"05-22-02","05","22","02",COLEÇÃO
"05-22-03","05","22","03",COLEÇÃO
"05-22-04","05","22","04",COLEÇÃO
"05-22-05","05","22","05",COLEÇÃO
"05-22-06","05","22","06",COLEÇÃO
"05-22-07","05","22","07",COLEÇÃO
"05-22-08","05","22","08",COLEÇÃO
"05-22-09","05","22","09",COLEÇÃO
"05-22-10","05","22","10",COLEÇÃO
"05-22-11","05","22","11",COLEÇÃO
"05-22-12","05","22","12",COLEÇÃO
"05-22-13","05","22","13",COLEÇÃO
"05-22-14","05","22","14",COLEÇÃO
"05-22-15","05","22","15",COLEÇÃO
"05-22-16","05","22","16",COLEÇÃO
"05-22-17","05","22","17",COLEÇÃO
"05-22-18","05","22","18",COLEÇÃO
