"usuario","codbarrastag","codreduzido","Endereco","engenharia","DataReposicao","EngenhariaPai","descricao","epc","StatusEndereco","numeroop","cor","tamanho","totalop","situacaoinventario"
"2410","01000065544604000226","655446","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS G BRANCO,"3035E2C81C23064000000206",,"118899-001","201",G,"92",
"2410","01000065321703000369","653217","02-45-10","010464002-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB VERTIC M GUACHE,"3035E2C81C21710000000024",,"112660-001","216",M,"70",
"2410","01000065542801000033","655428","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS PP BRANCO,"3035E2C81C2306400000017D",,"118266-001","201",PP,"123",
"2410","01000065542701000040","655427","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS PP PRETO,"3035E2C81C23064000000160",,"118266-001","210",PP,"123",
"2410","01000065395701000023","653957","02-45-10","010243025-0","2023-06-27 17:52:00",,TSHIRT O MC REG MPENT TERMO PLUS CB P PRETO,"3035E2C81C21D78000000095",,"117757-001","210",P,"157",
"2410","01000065542701000024","655427","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS PP PRETO,"3035E2C81C2306400000015E",,"118266-001","210",PP,"123",
"2410","01000065323601000045","653236","02-45-10","010464015-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CRAQUELE PP MINERAL,"3035E2C81C2178C000000082",,"116805-001","950",PP,"155",
"2410","01000065542701000066","655427","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS PP PRETO,"3035E2C81C23064000000162",,"118266-001","210",PP,"123",
"2410","01000065542801000025","655428","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS PP BRANCO,"3035E2C81C2306400000017C",,"118266-001","201",PP,"123",
"2410","01000065544604000195","655446","02-45-10","010464013-0","2023-06-27 17:52:00",,TSHIRT O MC SLIM MPENTEADA CB WORDS G BRANCO,"3035E2C81C230640000001AB",,"117159-001","201",G,"185",
"2452","01000066010605000902","660106","09-34-14","010220002-0","2023-06-15 15:06:54",,TSHIRT O MC RG MPENTEADA PAI KIDS PACK GG STRELITZ,"3035E2C168001A800002F319",,"113843-001","711",GG,"1199",
"1","01000067017704000169","670177","11-70-20","010465030-0","2023-06-28 22:19:08",,TSHIRT O MC SLIM MPENTEADA COLLEGE G GUACHE,"3035E2C81C2CC2800000003A",,"115049-003","216",G,"1",OK
"9002","01000065083003000100","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000000A",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000079","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000007",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000037","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000003",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000223","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000016",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000265","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000001A",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000532","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000039",,"118379-001","248-MESCLA",M,"44",OK
"9002","01000065083003000299","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000001D",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000540","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000003A",,"118379-001","248-MESCLA",M,"44",OK
"9002","01000065083003000192","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000013",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000469","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000002E",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000045","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000004",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000558","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000003B",,"118379-001","248-MESCLA",M,"44",OK
